ma_id_1,ma_id_2,review_id_1,review_id_2,n_shared,n_ma1,n_ma2,jaccard,shared_studies
CD015254__A9,CD015255__A15,CD015254,CD015255,2,9,4,0.1818,podoshin 1990; puhakka 1985
CD001552__A3,CD015101__A1,CD001552,CD015101,2,9,5,0.1667,hui 2005; ucan 2006
CD007110__A3,CD010533__A4,CD007110,CD010533,2,8,6,0.1667,hd16; hd17
CD012067__A14,CD013414__A1,CD012067,CD013414,2,7,7,0.1667,brosnahan 2022; tame-pkd 2018
CD013052__A3,CD013054__A3,CD013052,CD013054,2,9,5,0.1667,de miguel 1999; ramos 2003
CD013053__A1,CD013054__A7,CD013053,CD013054,2,6,8,0.1667,de miguel 1999; ramos 2003
CD013232__A19,CD014965__A11,CD013232,CD014965,2,11,3,0.1667,ichikawa 2017; marcus 2009
CD013232__A19,CD014965__A22,CD013232,CD014965,2,11,3,0.1667,mccracken 2002; owen 2009
CD015215__A2,CD015252__A3,CD015215,CD015252,2,8,6,0.1667,dempster 1993; maw 1983
CD015215__A4,CD015252__A2,CD015215,CD015252,2,9,5,0.1667,dempster 1993; maw 1983
CD015215__A5,CD015252__A2,CD015215,CD015252,2,9,5,0.1667,dempster 1993; maw 1983
CD015254__A6,CD015255__A14,CD015254,CD015255,2,10,4,0.1667,podoshin 1990; puhakka 1985
CD015254__A6,CD015255__A15,CD015254,CD015255,2,10,4,0.1667,podoshin 1990; puhakka 1985
CD015254__A7,CD015255__A13,CD015254,CD015255,2,9,5,0.1667,podoshin 1990; puhakka 1985
CD015254__A8,CD015255__A13,CD015254,CD015255,2,9,5,0.1667,podoshin 1990; puhakka 1985
CD015254__A9,CD015255__A13,CD015254,CD015255,2,9,5,0.1667,podoshin 1990; puhakka 1985
CD001552__A2,CD015101__A2,CD001552,CD015101,2,11,4,0.1538,hui 2005; ucan 2006
CD007110__A1,CD010533__A4,CD007110,CD010533,2,9,6,0.1538,hd16; hd17
CD007110__A2,CD010533__A4,CD007110,CD010533,2,9,6,0.1538,hd16; hd17
CD013051__A2,CD013052__A3,CD013051,CD013052,2,6,9,0.1538,esposito 1990; ramos 2003
CD015134__A1,CD016131__A3,CD015134,CD016131,2,4,11,0.1538,kampmann 2023; madhi 2020
CD015134__A1,CD016131__A4,CD015134,CD016131,2,4,11,0.1538,kampmann 2023; madhi 2020
CD015134__A2,CD016131__A3,CD015134,CD016131,2,4,11,0.1538,kampmann 2023; madhi 2020
CD015134__A2,CD016131__A4,CD015134,CD016131,2,4,11,0.1538,kampmann 2023; madhi 2020
CD015134__A6,CD016131__A3,CD015134,CD016131,2,4,11,0.1538,kampmann 2023; madhi 2020
CD015134__A6,CD016131__A4,CD015134,CD016131,2,4,11,0.1538,kampmann 2023; madhi 2020
CD015215__A4,CD015252__A3,CD015215,CD015252,2,9,6,0.1538,dempster 1993; maw 1983
CD015215__A5,CD015252__A3,CD015215,CD015252,2,9,6,0.1538,dempster 1993; maw 1983
CD015254__A6,CD015255__A13,CD015254,CD015255,2,10,5,0.1538,podoshin 1990; puhakka 1985
CD015254__A7,CD015255__A12,CD015254,CD015255,2,9,6,0.1538,podoshin 1990; puhakka 1985
CD015254__A8,CD015255__A12,CD015254,CD015255,2,9,6,0.1538,podoshin 1990; puhakka 1985
CD015254__A9,CD015255__A12,CD015254,CD015255,2,9,6,0.1538,podoshin 1990; puhakka 1985
CD015518__A4,CD015519__A9,CD015518,CD015519,2,13,2,0.1538,piraux 2020; segal 2009
CD001552__A2,CD015101__A1,CD001552,CD015101,2,11,5,0.1429,hui 2005; ucan 2006
CD007110__A3,CD010533__A3,CD007110,CD010533,2,8,8,0.1429,hd16; hd17
CD012712__A1,CD013827__A13,CD012712,CD013827,2,14,2,0.1429,chen 2019; zhu 2021
CD012712__A3,CD013827__A13,CD012712,CD013827,2,14,2,0.1429,chen 2019; zhu 2021
CD012067__A8,CD013414__A6,CD012067,CD013414,2,13,3,0.1429,brosnahan 2022; tame-pkd 2018
CD013051__A2,CD013054__A2,CD013051,CD013054,2,6,10,0.1429,kaygusuz 2002; ramos 2003
CD015134__A1,CD016131__A5,CD015134,CD016131,2,4,12,0.1429,kampmann 2023; madhi 2020
CD015134__A2,CD016131__A5,CD015134,CD016131,2,4,12,0.1429,kampmann 2023; madhi 2020
CD015134__A3,CD016131__A3,CD015134,CD016131,2,5,11,0.1429,kampmann 2023; madhi 2020
CD015134__A3,CD016131__A4,CD015134,CD016131,2,5,11,0.1429,kampmann 2023; madhi 2020
CD015134__A6,CD016131__A5,CD015134,CD016131,2,4,12,0.1429,kampmann 2023; madhi 2020
CD015134__A4,CD016131__A2,CD015134,CD016131,2,3,13,0.1429,kampmann 2023; simões 2022
CD015254__A6,CD015255__A12,CD015254,CD015255,2,10,6,0.1429,podoshin 1990; puhakka 1985
CD000219__A2,CD004417__A3,CD000219,CD004417,2,11,6,0.1333,little 2001; spiro 2006
CD007110__A1,CD010533__A3,CD007110,CD010533,2,9,8,0.1333,hd16; hd17
CD007110__A2,CD010533__A3,CD007110,CD010533,2,9,8,0.1333,hd16; hd17
CD012712__A19,CD013827__A11,CD012712,CD013827,2,7,10,0.1333,chen 2019; zhu 2021
CD012712__A19,CD013827__A7,CD012712,CD013827,2,7,10,0.1333,chen 2019; zhu 2021
CD013051__A1,CD013053__A2,CD013051,CD013053,2,12,5,0.1333,esposito 1990; ramos 2003
CD013051__A1,CD013054__A3,CD013051,CD013054,2,12,5,0.1333,kaygusuz 2002; ramos 2003
CD013052__A3,CD013054__A7,CD013052,CD013054,2,9,8,0.1333,de miguel 1999; ramos 2003
CD015134__A3,CD016131__A5,CD015134,CD016131,2,5,12,0.1333,kampmann 2023; madhi 2020
CD015134__A5,CD016131__A3,CD015134,CD016131,2,6,11,0.1333,kampmann 2023; madhi 2020
CD015134__A5,CD016131__A4,CD015134,CD016131,2,6,11,0.1333,kampmann 2023; madhi 2020
CD015134__A7,CD016131__A3,CD015134,CD016131,2,6,11,0.1333,kampmann 2023; madhi 2020
CD015134__A7,CD016131__A4,CD015134,CD016131,2,6,11,0.1333,kampmann 2023; madhi 2020
CD015134__A4,CD016131__A1,CD015134,CD016131,2,3,14,0.1333,kampmann 2023; simões 2022
CD015518__A1,CD015519__A9,CD015518,CD015519,2,15,2,0.1333,piraux 2020; segal 2009
CD012712__A19,CD013827__A9,CD012712,CD013827,2,7,11,0.125,chen 2019; zhu 2021
CD012067__A8,CD013414__A2,CD012067,CD013414,2,13,5,0.125,brosnahan 2022; tame-pkd 2018
CD012067__A8,CD013414__A8,CD012067,CD013414,2,13,5,0.125,brosnahan 2022; tame-pkd 2018
CD013051__A1,CD013053__A1,CD013051,CD013053,2,12,6,0.125,esposito 1990; ramos 2003
CD015134__A5,CD016131__A5,CD015134,CD016131,2,6,12,0.125,kampmann 2023; madhi 2020
CD015134__A7,CD016131__A5,CD015134,CD016131,2,6,12,0.125,kampmann 2023; madhi 2020
CD015518__A2,CD015519__A9,CD015518,CD015519,2,16,2,0.125,piraux 2020; segal 2009
CD012712__A19,CD013827__A10,CD012712,CD013827,2,7,12,0.1176,chen 2019; zhu 2021
CD012712__A19,CD013827__A8,CD012712,CD013827,2,7,12,0.1176,chen 2019; zhu 2021
CD012067__A8,CD013414__A4,CD012067,CD013414,2,13,6,0.1176,brosnahan 2022; tame-pkd 2018
CD013051__A2,CD013054__A1,CD013051,CD013054,2,6,13,0.1176,kaygusuz 2002; ramos 2003
CD013232__A17,CD014965__A20,CD013232,CD014965,2,15,4,0.1176,marcus 2009; owen 2009
CD012712__A12,CD013827__A11,CD012712,CD013827,2,10,10,0.1111,chen 2019; zhu 2021
CD012712__A12,CD013827__A7,CD012712,CD013827,2,10,10,0.1111,chen 2019; zhu 2021
CD012067__A8,CD013414__A1,CD012067,CD013414,2,13,7,0.1111,brosnahan 2022; tame-pkd 2018
CD013232__A17,CD014965__A18,CD013232,CD014965,2,15,5,0.1111,marcus 2009; owen 2009
CD013232__A17,CD014965__A19,CD013232,CD014965,2,15,5,0.1111,marcus 2009; owen 2009
CD013232__A18,CD014965__A12,CD013232,CD014965,2,18,2,0.1111,loebel 2016; owen 2009
CD000219__A2,CD004417__A1,CD000219,CD004417,2,11,10,0.1053,little 2001; spiro 2006
CD012712__A12,CD013827__A9,CD012712,CD013827,2,10,11,0.1053,chen 2019; zhu 2021
CD013051__A1,CD013052__A3,CD013051,CD013052,2,12,9,0.1053,esposito 1990; ramos 2003
CD013232__A17,CD014965__A13,CD013232,CD014965,2,15,6,0.1053,marcus 2009; owen 2009
CD013232__A17,CD014965__A15,CD013232,CD014965,2,15,6,0.1053,marcus 2009; owen 2009
CD013232__A18,CD014965__A11,CD013232,CD014965,2,18,3,0.1053,ichikawa 2017; marcus 2009
CD013232__A18,CD014965__A23,CD013232,CD014965,2,18,3,0.1053,mccracken 2002; nct00198107
CD012712__A12,CD013827__A10,CD012712,CD013827,2,10,12,0.1,chen 2019; zhu 2021
CD012712__A12,CD013827__A8,CD012712,CD013827,2,10,12,0.1,chen 2019; zhu 2021
CD012712__A7,CD013827__A13,CD012712,CD013827,2,20,2,0.1,chen 2019; zhu 2021
CD013051__A1,CD013054__A2,CD013051,CD013054,2,12,10,0.1,kaygusuz 2002; ramos 2003
CD013232__A18,CD014965__A16,CD013232,CD014965,2,18,4,0.1,loebel 2016; nct00198107
CD013874__A8,CD015443__A1,CD013874,CD015443,2,6,16,0.1,hawker 2009; komori 2016
CD014300__A13,CD014722__A10,CD014300,CD014722,2,10,12,0.1,berger 2018; leventhal 2015
CD000219__A1,CD004417__A3,CD000219,CD004417,2,17,6,0.0952,little 2001; spiro 2006
CD012712__A10,CD013827__A13,CD012712,CD013827,2,21,2,0.0952,chen 2019; zhu 2021
CD013232__A17,CD014965__A14,CD013232,CD014965,2,15,8,0.0952,marcus 2009; owen 2009
CD013232__A17,CD014965__A24,CD013232,CD014965,2,15,8,0.0952,marcus 2009; owen 2009
CD013232__A17,CD014965__A25,CD013232,CD014965,2,15,8,0.0952,marcus 2009; owen 2009
CD013232__A17,CD014965__A26,CD013232,CD014965,2,15,8,0.0952,marcus 2009; owen 2009
CD013232__A17,CD014965__A6,CD013232,CD014965,2,15,8,0.0952,marcus 2009; owen 2009
CD008552__A2,CD008709__A2,CD008552,CD008709,2,18,6,0.0909,lee 2015; smith 2017
CD012712__A1,CD013827__A11,CD012712,CD013827,2,14,10,0.0909,chen 2019; zhu 2021
CD012712__A1,CD013827__A7,CD012712,CD013827,2,14,10,0.0909,chen 2019; zhu 2021
CD012712__A3,CD013827__A11,CD012712,CD013827,2,14,10,0.0909,chen 2019; zhu 2021
CD012712__A3,CD013827__A7,CD012712,CD013827,2,14,10,0.0909,chen 2019; zhu 2021
CD012712__A1,CD013827__A9,CD012712,CD013827,2,14,11,0.087,chen 2019; zhu 2021
CD012712__A3,CD013827__A9,CD012712,CD013827,2,14,11,0.087,chen 2019; zhu 2021
CD013051__A1,CD013054__A1,CD013051,CD013054,2,12,13,0.087,kaygusuz 2002; ramos 2003
CD013232__A17,CD014965__A5,CD013232,CD014965,2,15,10,0.087,marcus 2009; owen 2009
CD013874__A3,CD015443__A1,CD013874,CD015443,2,9,16,0.087,hawker 2009; komori 2016
CD012712__A1,CD013827__A10,CD012712,CD013827,2,14,12,0.0833,chen 2019; zhu 2021
CD012712__A1,CD013827__A8,CD012712,CD013827,2,14,12,0.0833,chen 2019; zhu 2021
CD012712__A3,CD013827__A10,CD012712,CD013827,2,14,12,0.0833,chen 2019; zhu 2021
CD012712__A3,CD013827__A8,CD012712,CD013827,2,14,12,0.0833,chen 2019; zhu 2021
CD012712__A4,CD013827__A13,CD012712,CD013827,2,24,2,0.0833,chen 2019; zhu 2021
CD013232__A17,CD014965__A7,CD013232,CD014965,2,15,11,0.0833,marcus 2009; owen 2009
CD013232__A2,CD014965__A8,CD013232,CD014965,2,22,4,0.0833,devane 2019; ghanizadeh 2014
CD013874__A8,CD015443__A2,CD013874,CD015443,2,6,20,0.0833,hawker 2009; komori 2016
CD000219__A1,CD004417__A1,CD000219,CD004417,2,17,10,0.08,little 2001; spiro 2006
CD003962__A2,CD015060__A2,CD003962,CD015060,2,20,7,0.08,chan 2003; kawasaki 2006
CD012712__A2,CD013827__A13,CD012712,CD013827,2,25,2,0.08,chen 2019; zhu 2021
CD013232__A12,CD014965__A12,CD013232,CD014965,2,25,2,0.08,loebel 2016; owen 2009
CD008063__A3,CD015673__A5,CD008063,CD015673,2,18,10,0.0769,anton 2005; de wildt 2002
CD013232__A12,CD014965__A11,CD013232,CD014965,2,25,3,0.0769,ichikawa 2017; marcus 2009
CD013232__A12,CD014965__A22,CD013232,CD014965,2,25,3,0.0769,mccracken 2002; owen 2009
CD003962__A2,CD015060__A1,CD003962,CD015060,2,20,9,0.0741,chan 2003; kawasaki 2006
CD013232__A2,CD014965__A4,CD013232,CD014965,2,22,7,0.0741,devane 2019; ghanizadeh 2014
CD013874__A3,CD015443__A2,CD013874,CD015443,2,9,20,0.0741,hawker 2009; komori 2016
CD014300__A13,CD014722__A4,CD014300,CD014722,2,10,19,0.0741,dhital 2019; dybdahl 2001
CD008063__A3,CD015673__A3,CD008063,CD015673,2,18,12,0.0714,anton 2005; de wildt 2002
CD012712__A7,CD013827__A11,CD012712,CD013827,2,20,10,0.0714,chen 2019; zhu 2021
CD012712__A7,CD013827__A7,CD012712,CD013827,2,20,10,0.0714,chen 2019; zhu 2021
CD013232__A10,CD014965__A8,CD013232,CD014965,2,26,4,0.0714,devane 2019; ghanizadeh 2014
CD013232__A2,CD014965__A6,CD013232,CD014965,2,22,8,0.0714,devane 2019; ghanizadeh 2014
CD013874__A1,CD015443__A1,CD013874,CD015443,2,14,16,0.0714,hawker 2009; komori 2016
CD014300__A13,CD014722__A7,CD014300,CD014722,2,10,20,0.0714,leventhal 2015; miller 2020
CD012712__A10,CD013827__A11,CD012712,CD013827,2,21,10,0.069,chen 2019; zhu 2021
CD012712__A10,CD013827__A7,CD012712,CD013827,2,21,10,0.069,chen 2019; zhu 2021
CD012712__A7,CD013827__A9,CD012712,CD013827,2,20,11,0.069,chen 2019; zhu 2021
CD013232__A17,CD014965__A1,CD013232,CD014965,2,15,16,0.069,marcus 2009; owen 2009
CD013232__A6,CD014965__A8,CD013232,CD014965,2,27,4,0.069,devane 2019; ghanizadeh 2014
CD013874__A2,CD015443__A1,CD013874,CD015443,2,15,16,0.069,hawker 2009; komori 2016
CD012712__A10,CD013827__A9,CD012712,CD013827,2,21,11,0.0667,chen 2019; zhu 2021
CD012712__A7,CD013827__A10,CD012712,CD013827,2,20,12,0.0667,chen 2019; zhu 2021
CD012712__A7,CD013827__A8,CD012712,CD013827,2,20,12,0.0667,chen 2019; zhu 2021
CD012067__A1,CD013414__A6,CD012067,CD013414,2,29,3,0.0667,brosnahan 2022; tame-pkd 2018
CD013232__A2,CD014965__A5,CD013232,CD014965,2,22,10,0.0667,devane 2019; ghanizadeh 2014
CD002042__A5,CD009752__A9,CD002042,CD009752,2,28,5,0.0645,cholette 2011; cholette 2017
CD003962__A4,CD015060__A2,CD003962,CD015060,2,26,7,0.0645,chan 2003; kawasaki 2006
CD012712__A10,CD013827__A10,CD012712,CD013827,2,21,12,0.0645,chen 2019; zhu 2021
CD012712__A10,CD013827__A8,CD012712,CD013827,2,21,12,0.0645,chen 2019; zhu 2021
CD013232__A10,CD014965__A4,CD013232,CD014965,2,26,7,0.0645,devane 2019; ghanizadeh 2014
CD013232__A2,CD014965__A2,CD013232,CD014965,2,22,11,0.0645,devane 2019; ghanizadeh 2014
CD013232__A2,CD014965__A3,CD013232,CD014965,2,22,11,0.0645,devane 2019; ghanizadeh 2014
CD013232__A2,CD014965__A7,CD013232,CD014965,2,22,11,0.0645,devane 2019; ghanizadeh 2014
CD002042__A5,CD009752__A10,CD002042,CD009752,2,28,6,0.0625,cholette 2011; cholette 2017
CD012712__A4,CD013827__A11,CD012712,CD013827,2,24,10,0.0625,chen 2019; zhu 2021
CD012712__A4,CD013827__A7,CD012712,CD013827,2,24,10,0.0625,chen 2019; zhu 2021
CD012067__A1,CD013414__A2,CD012067,CD013414,2,29,5,0.0625,brosnahan 2022; tame-pkd 2018
CD012067__A1,CD013414__A8,CD012067,CD013414,2,29,5,0.0625,brosnahan 2022; tame-pkd 2018
CD013232__A10,CD014965__A6,CD013232,CD014965,2,26,8,0.0625,devane 2019; ghanizadeh 2014
CD013874__A1,CD015443__A2,CD013874,CD015443,2,14,20,0.0625,hawker 2009; komori 2016
CD003962__A4,CD015060__A1,CD003962,CD015060,2,26,9,0.0606,chan 2003; kawasaki 2006
CD009749__A2,CD010001__A1,CD009749,CD010001,2,9,26,0.0606,kim 2010; singh 2021
CD012712__A2,CD013827__A11,CD012712,CD013827,2,25,10,0.0606,chen 2019; zhu 2021
CD012712__A2,CD013827__A7,CD012712,CD013827,2,25,10,0.0606,chen 2019; zhu 2021
CD012712__A4,CD013827__A9,CD012712,CD013827,2,24,11,0.0606,chen 2019; zhu 2021
CD012067__A1,CD013414__A4,CD012067,CD013414,2,29,6,0.0606,brosnahan 2022; tame-pkd 2018
CD013232__A6,CD014965__A6,CD013232,CD014965,2,27,8,0.0606,devane 2019; ghanizadeh 2014
CD013232__A6,CD014965__A24,CD013232,CD014965,2,27,8,0.0606,mccracken 2002; shea 2004
CD013232__A6,CD014965__A25,CD013232,CD014965,2,27,8,0.0606,mccracken 2002; shea 2004
CD013232__A6,CD014965__A26,CD013232,CD014965,2,27,8,0.0606,mccracken 2002; shea 2004
CD013874__A2,CD015443__A2,CD013874,CD015443,2,15,20,0.0606,hawker 2009; komori 2016
CD008552__A4,CD008709__A2,CD008552,CD008709,2,30,6,0.0588,lee 2015; smith 2017
CD012712__A2,CD013827__A9,CD012712,CD013827,2,25,11,0.0588,chen 2019; zhu 2021
CD012712__A4,CD013827__A10,CD012712,CD013827,2,24,12,0.0588,chen 2019; zhu 2021
CD012712__A4,CD013827__A8,CD012712,CD013827,2,24,12,0.0588,chen 2019; zhu 2021
CD012067__A1,CD013414__A1,CD012067,CD013414,2,29,7,0.0588,brosnahan 2022; tame-pkd 2018
CD013232__A10,CD014965__A5,CD013232,CD014965,2,26,10,0.0588,devane 2019; ghanizadeh 2014
CD013232__A13,CD014965__A5,CD013232,CD014965,2,26,10,0.0588,mccracken 2002; nct01624675
CD008552__A3,CD008709__A2,CD008552,CD008709,2,31,6,0.0571,lee 2015; smith 2017
CD011841__A2,CD013763__A9,CD011841,CD013763,2,26,11,0.0571,chen 2020; park 2021
CD009749__A7,CD010001__A1,CD009749,CD010001,2,11,26,0.0571,kim 2010; singh 2021
CD012712__A2,CD013827__A10,CD012712,CD013827,2,25,12,0.0571,chen 2019; zhu 2021
CD012712__A2,CD013827__A8,CD012712,CD013827,2,25,12,0.0571,chen 2019; zhu 2021
CD013232__A10,CD014965__A2,CD013232,CD014965,2,26,11,0.0571,devane 2019; ghanizadeh 2014
CD013232__A10,CD014965__A7,CD013232,CD014965,2,26,11,0.0571,devane 2019; ghanizadeh 2014
CD002042__A5,CD009752__A1,CD002042,CD009752,2,28,10,0.0556,cholette 2011; cholette 2017
CD006536__A18,CD012712__A4,CD006536,CD012712,2,14,24,0.0556,yang 2020; zhang 2021
CD013232__A2,CD014965__A1,CD013232,CD014965,2,22,16,0.0556,devane 2019; ghanizadeh 2014
CD013232__A6,CD014965__A2,CD013232,CD014965,2,27,11,0.0556,devane 2019; ghanizadeh 2014
CD013232__A6,CD014965__A3,CD013232,CD014965,2,27,11,0.0556,devane 2019; ghanizadeh 2014
CD009749__A2,CD010001__A3,CD009749,CD010001,2,9,30,0.0541,kim 2010; singh 2021
CD009749__A6,CD010001__A1,CD009749,CD010001,2,13,26,0.0541,kim 2010; singh 2021
CD013232__A4,CD014965__A8,CD013232,CD014965,2,35,4,0.0541,devane 2019; ghanizadeh 2014
CD011841__A2,CD013763__A8,CD011841,CD013763,2,26,15,0.0513,chen 2020; park 2021
CD003331__A7,CD013508__A1,CD003331,CD013508,2,21,20,0.0513,davidson 2010; gary 2010
CD009749__A7,CD010001__A3,CD009749,CD010001,2,11,30,0.0513,kim 2010; singh 2021
CD013232__A4,CD014965__A4,CD013232,CD014965,2,35,7,0.05,devane 2019; ghanizadeh 2014
CD009749__A6,CD010001__A3,CD009749,CD010001,2,13,30,0.0488,kim 2010; singh 2021
CD013232__A4,CD014965__A6,CD013232,CD014965,2,35,8,0.0488,devane 2019; ghanizadeh 2014
CD011841__A1,CD013763__A9,CD011841,CD013763,2,33,11,0.0476,chen 2020; park 2021
CD002042__A20,CD009752__A9,CD002042,CD009752,2,39,5,0.0476,cholette 2011; cholette 2017
CD002042__A20,CD009752__A10,CD002042,CD009752,2,39,6,0.0465,cholette 2011; cholette 2017
CD013232__A4,CD014965__A2,CD013232,CD014965,2,35,11,0.0455,devane 2019; ghanizadeh 2014
CD013232__A4,CD014965__A3,CD013232,CD014965,2,35,11,0.0455,devane 2019; ghanizadeh 2014
CD014300__A13,CD014722__A3,CD014300,CD014722,2,10,36,0.0455,berger 2018; dybdahl 2001
CD008552__A1,CD008709__A2,CD008552,CD008709,2,42,6,0.0435,lee 2015; smith 2017
CD008552__A5,CD008709__A2,CD008552,CD008709,2,42,6,0.0435,lee 2015; smith 2017
CD008552__A6,CD008709__A2,CD008552,CD008709,2,42,6,0.0435,lee 2015; smith 2017
CD011841__A1,CD013763__A8,CD011841,CD013763,2,33,15,0.0435,chen 2020; park 2021
CD011841__A3,CD013763__A11,CD011841,CD013763,2,17,31,0.0435,arora 2019; park 2021
CD002042__A7,CD009752__A9,CD002042,CD009752,2,43,5,0.0435,cholette 2011; cholette 2017
CD008552__A1,CD015326__A28,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A1,CD015326__A29,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A1,CD015326__A30,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A1,CD015326__A38,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A5,CD015326__A28,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A5,CD015326__A29,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A5,CD015326__A30,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A5,CD015326__A38,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A6,CD015326__A28,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A6,CD015326__A29,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A6,CD015326__A30,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A6,CD015326__A38,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD002042__A20,CD009752__A1,CD002042,CD009752,2,39,10,0.0426,cholette 2011; cholette 2017
CD002042__A7,CD009752__A10,CD002042,CD009752,2,43,6,0.0426,cholette 2011; cholette 2017
CD013232__A15,CD014965__A11,CD013232,CD014965,2,46,3,0.0426,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A27,CD013232,CD014965,2,46,4,0.0417,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A9,CD013232,CD014965,2,46,4,0.0417,ichikawa 2017; marcus 2009
CD009749__A2,CD010001__A4,CD009749,CD010001,2,9,42,0.0408,kim 2010; singh 2021
CD008552__A1,CD015326__A8,CD008552,CD015326,2,42,9,0.0408,kobel 2019; ward 2020
CD008552__A5,CD015326__A8,CD008552,CD015326,2,42,9,0.0408,kobel 2019; ward 2020
CD008552__A6,CD015326__A8,CD008552,CD015326,2,42,9,0.0408,kobel 2019; ward 2020
CD002042__A9,CD009752__A9,CD002042,CD009752,2,47,5,0.04,cholette 2011; cholette 2017
CD008165__A1,CD016064__A3,CD008165,CD016064,2,8,44,0.04,crotty 2004a; crotty 2004b
CD013232__A15,CD014965__A13,CD013232,CD014965,2,46,6,0.04,ichikawa 2017; marcus 2009
CD002042__A4,CD009752__A9,CD002042,CD009752,2,48,5,0.0392,cholette 2011; cholette 2017
CD002042__A7,CD009752__A1,CD002042,CD009752,2,43,10,0.0392,cholette 2011; cholette 2017
CD002042__A9,CD009752__A10,CD002042,CD009752,2,47,6,0.0392,cholette 2011; cholette 2017
CD003331__A8,CD013508__A1,CD003331,CD013508,2,33,20,0.0392,davidson 2010; gary 2010
CD009749__A7,CD010001__A4,CD009749,CD010001,2,11,42,0.0392,kim 2010; singh 2021
CD013232__A15,CD014965__A4,CD013232,CD014965,2,46,7,0.0392,ichikawa 2017; marcus 2009
CD002042__A4,CD009752__A10,CD002042,CD009752,2,48,6,0.0385,cholette 2011; cholette 2017
CD003331__A1,CD013508__A1,CD003331,CD013508,2,34,20,0.0385,davidson 2010; gary 2010
CD013232__A15,CD014965__A14,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A24,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A25,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A26,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A6,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A9,CD014965__A12,CD013232,CD014965,2,52,2,0.0385,loebel 2016; owen 2009
CD002042__A8,CD009752__A9,CD002042,CD009752,2,50,5,0.0377,cholette 2011; cholette 2017
CD009749__A6,CD010001__A4,CD009749,CD010001,2,13,42,0.0377,kim 2010; singh 2021
CD013232__A9,CD014965__A22,CD013232,CD014965,2,52,3,0.0377,mccracken 2002; owen 2009
CD002042__A6,CD009752__A9,CD002042,CD009752,2,51,5,0.037,cholette 2011; cholette 2017
CD002042__A8,CD009752__A10,CD002042,CD009752,2,50,6,0.037,cholette 2011; cholette 2017
CD013232__A15,CD014965__A5,CD013232,CD014965,2,46,10,0.037,ichikawa 2017; marcus 2009
CD013232__A9,CD014965__A8,CD013232,CD014965,2,52,4,0.037,devane 2019; ghanizadeh 2014
CD013232__A7,CD014965__A12,CD013232,CD014965,2,54,2,0.037,loebel 2016; owen 2009
CD002042__A6,CD009752__A10,CD002042,CD009752,2,51,6,0.0364,cholette 2011; cholette 2017
CD002042__A9,CD009752__A1,CD002042,CD009752,2,47,10,0.0364,cholette 2011; cholette 2017
CD013232__A15,CD014965__A7,CD013232,CD014965,2,46,11,0.0364,ichikawa 2017; marcus 2009
CD013232__A7,CD014965__A10,CD013232,CD014965,2,54,3,0.0364,ghanizadeh 2014; mcdougle 1998
CD013232__A7,CD014965__A22,CD013232,CD014965,2,54,3,0.0364,mccracken 2002; owen 2009
CD013232__A8,CD014965__A12,CD013232,CD014965,2,55,2,0.0364,loebel 2016; owen 2009
CD002042__A4,CD009752__A1,CD002042,CD009752,2,48,10,0.0357,cholette 2011; cholette 2017
CD011535__A3,CD014741__A3,CD011535,CD014741,2,28,30,0.0357,bachelez 2015; torii 2010
CD013232__A8,CD014965__A11,CD013232,CD014965,2,55,3,0.0357,ghanizadeh 2014; marcus 2009
CD013232__A7,CD014965__A8,CD013232,CD014965,2,54,4,0.0357,ghanizadeh 2014; mcdougle 1998
CD013232__A8,CD014965__A22,CD013232,CD014965,2,55,3,0.0357,mccracken 2002; owen 2009
CD013232__A14,CD014965__A12,CD013232,CD014965,2,56,2,0.0357,loebel 2016; owen 2009
CD013232__A5,CD014965__A8,CD013232,CD014965,2,54,4,0.0357,devane 2019; mcdougle 1998
CD006536__A1,CD012712__A4,CD006536,CD012712,2,35,24,0.0351,yang 2020; zhang 2021
